Item1,Item1Name,Item2,Item2Name,PairCt,ItemCt,Prob,Incumbents,SalaryDiff,Salary1,Salary2,Salary1Min,Salary2Min,Hyperlink
1108,HEAD BOARD SPECIALIST,1849,SENIOR DEPARTMENTAL PERSONNEL TECH,2,20,0.1,187,-90.46,7383.82,7293.36,5190.56,5560.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1849' target = '_blank' >View Description</a>
1108,HEAD BOARD SPECIALIST,818,"PROGRAM SPECIALIST IV, CEO",1,20,0.05,27,2715.18,7383.82,10099,5190.56,7700.36,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0818' target = '_blank' >View Description</a>
1108,HEAD BOARD SPECIALIST,898,SUPVG ADMINISTRATIVE ASSISTANT III,1,20,0.05,10,1198.28,7383.82,8582.1,5190.56,6543.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0898' target = '_blank' >View Description</a>
1108,HEAD BOARD SPECIALIST,934,"HEAD,STAFF SERVICES",1,20,0.05,16,-90.46,7383.82,7293.36,5190.56,5560.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0934' target = '_blank' >View Description</a>
1108,HEAD BOARD SPECIALIST,960,"SENIOR STAFF ANALYST, COMMISSION SERVICES",1,20,0.05,4,1198.28,7383.82,8582.1,5190.56,6543.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0960' target = '_blank' >View Description</a>
1108,HEAD BOARD SPECIALIST,1003,ADMINISTRATIVE SERVICES MANAGER II,1,20,0.05,289,1177,7383.82,8560.82,5190.56,6527.56,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1003' target = '_blank' >View Description</a>
1108,HEAD BOARD SPECIALIST,1911,HUMAN RESOURCES ANALYST II,1,20,0.05,11,-90.46,7383.82,7293.36,5190.56,5560.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1911' target = '_blank' >View Description</a>
1108,HEAD BOARD SPECIALIST,9935,"SUPERVISOR'S DEPUTY I, UNCLASSIFIED",1,20,0.05,34,-353.72,7383.82,7030.1,5190.56,7030.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=9935' target = '_blank' >View Description</a>
1112,"SR INFORMATION RESOURCE SPECIALIST, BRD OF SUPVRS",2611,DEPTL INFO SECURITY OFFICER I,1,1,1,28,2071.82,10402.64,12474.46,7931.74,8241.68,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2611' target = '_blank' >View Description</a>
1113,"CHIEF, CIVIL SERVICE COMMISSION (UC)",1113,"CHIEF, CIVIL SERVICE COMMISSION (UC)",1,1,1,2,0,14415.4,14415.4,9524.04,9524.04,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1113' target = '_blank' >View Description</a>
1114,"ASSISTANT EXECUTIVE OFFICER, BD OF SUP (UC)",1111,"CHIEF DEPUTY EXECUTIVE OFFICER, BD OF SUP (UC)",1,3,0.33333,1,1443.6,19252.06,20695.66,12719.54,13673.3,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1111' target = '_blank' >View Description</a>
1114,"ASSISTANT EXECUTIVE OFFICER, BD OF SUP (UC)",1114,"ASSISTANT EXECUTIVE OFFICER, BD OF SUP (UC)",1,3,0.33333,3,0,19252.06,19252.06,12719.54,12719.54,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1114' target = '_blank' >View Description</a>
1114,"ASSISTANT EXECUTIVE OFFICER, BD OF SUP (UC)",9208,ASSISTANT COUNTY COUNSEL,1,3,0.33333,26,2996.14,19252.06,22248.2,12719.54,14699.04,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=9208' target = '_blank' >View Description</a>
1115,"ASSISTANT CHIEF, BOARD OF SUPVRS",1882,HD DEPARTMENTAL CIVIL SERVICE REP,1,1,1,4,120.36,9683.74,9804.1,7383.82,7475.64,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1882' target = '_blank' >View Description</a>
1116,"INFO RESOURCE SPEC, BOARD/SUPERVSR.",2598,INFORMATION TECHNOLOGY SUPERVISOR,2,6,0.33333,34,1342.92,9425,10767.92,7185.92,8209.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2598' target = '_blank' >View Description</a>
1116,"INFO RESOURCE SPEC, BOARD/SUPERVSR.",2611,DEPTL INFO SECURITY OFFICER I,2,6,0.33333,28,3049.46,9425,12474.46,7185.92,8241.68,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2611' target = '_blank' >View Description</a>
1116,"INFO RESOURCE SPEC, BOARD/SUPERVSR.",2526,PRINCIPAL APPLICATION DEVELOPER,1,6,0.16667,158,977.64,9425,10402.64,7185.92,7931.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2526' target = '_blank' >View Description</a>
1116,"INFO RESOURCE SPEC, BOARD/SUPERVSR.",2561,PRINCIPAL NETWORK SYSTEMS ADMINISTRATOR,1,6,0.16667,42,1054.82,9425,10479.82,7185.92,7990.36,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2561' target = '_blank' >View Description</a>
1117,"DEPUTY EXECUTIVE OFFICER, BOARD OPER. BOS (UC)",1114,"ASSISTANT EXECUTIVE OFFICER, BD OF SUP (UC)",2,2,1,3,3754.96,15497.1,19252.06,10238.7,12719.54,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1114' target = '_blank' >View Description</a>
1120,EXECUTIVE ASSISTANT,1122,"DIVISION MANAGER, REG-REC/CO CLERK",3,10,0.3,12,3007.32,10402.64,13409.96,7931.74,8859.76,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1122' target = '_blank' >View Description</a>
1120,EXECUTIVE ASSISTANT,4594,"SENIOR STAFF ANALYST, HEALTH",2,10,0.2,77,0,10402.64,10402.64,7931.74,7931.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=4594' target = '_blank' >View Description</a>
1120,EXECUTIVE ASSISTANT,830,"PRINCIPAL ANALYST, CEO",1,10,0.1,77,2142.72,10402.64,12545.36,7931.74,9565.56,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0830' target = '_blank' >View Description</a>
1120,EXECUTIVE ASSISTANT,1070,"CHIEF, PUBLIC HEALTH, ADMINISTRATION",1,10,0.1,7,3007.32,10402.64,13409.96,7931.74,8859.76,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1070' target = '_blank' >View Description</a>
1120,EXECUTIVE ASSISTANT,1120,EXECUTIVE ASSISTANT,1,10,0.1,20,0,10402.64,10402.64,7931.74,7931.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1120' target = '_blank' >View Description</a>
1120,EXECUTIVE ASSISTANT,4626,"MANAGER, BOARD RELATIONS HS",1,10,0.1,NA,4012.74,10402.64,14415.38,7931.74,9524.04,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=4626' target = '_blank' >View Description</a>
1120,EXECUTIVE ASSISTANT,8023,HUMAN SERVICES ADMINISTRATOR III,1,10,0.1,76,798,10402.64,11200.64,7931.74,8539.56,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8023' target = '_blank' >View Description</a>
1122,"DIVISION MANAGER, REG-REC/CO CLERK",2571,INFORMATION TECHNOLOGY MANAGER II,3,5,0.6,61,1005.42,13409.96,14415.38,8859.76,9524.04,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2571' target = '_blank' >View Description</a>
1122,"DIVISION MANAGER, REG-REC/CO CLERK",1053,DEPARTMENTAL FINANCE MANAGER II,1,5,0.2,19,0,13409.96,13409.96,8859.76,8859.76,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1053' target = '_blank' >View Description</a>
1122,"DIVISION MANAGER, REG-REC/CO CLERK",8014,"DIVISION CHIEF,PSS",1,5,0.2,18,1005.42,13409.96,14415.38,8859.76,9524.04,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8014' target = '_blank' >View Description</a>
1123,ASST REGISTRAR-RECORDER/CO CLK (UC),1114,"ASSISTANT EXECUTIVE OFFICER, BD OF SUP (UC)",1,1,1,3,2592.72,16659.34,19252.06,11006.58,12719.54,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1114' target = '_blank' >View Description</a>
1124,CHF DEP REGISTRAR-REC/CO CLK (UC),1119,REGISTRAR-RECORDER/COUNTY CLERK,1,1,1,1,NA,20695.66,NA,13673.3,NA,No Job Description
1125,"ASST DIV MGR, PROG, REG-REC/CO CLK",1122,"DIVISION MANAGER, REG-REC/CO CLERK",3,11,0.27273,12,3726.22,9683.74,13409.96,7383.82,8859.76,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1122' target = '_blank' >View Description</a>
1125,"ASST DIV MGR, PROG, REG-REC/CO CLK",1004,ADMINISTRATIVE SERVICES MANAGER III,2,11,0.18182,155,1516.9,9683.74,11200.64,7383.82,8539.56,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1004' target = '_blank' >View Description</a>
1125,"ASST DIV MGR, PROG, REG-REC/CO CLK",829,"SENIOR ANALYST, CEO",1,11,0.09091,42,415.26,9683.74,10099,7383.82,7700.36,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0829' target = '_blank' >View Description</a>
1125,"ASST DIV MGR, PROG, REG-REC/CO CLK",1088,"HEAD,MANAGEMENT SERVICES",1,11,0.09091,2,1920.42,9683.74,11604.16,7383.82,7666.7,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1088' target = '_blank' >View Description</a>
1125,"ASST DIV MGR, PROG, REG-REC/CO CLK",1120,EXECUTIVE ASSISTANT,1,11,0.09091,20,718.9,9683.74,10402.64,7383.82,7931.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1120' target = '_blank' >View Description</a>
1125,"ASST DIV MGR, PROG, REG-REC/CO CLK",1125,"ASST DIV MGR, PROG, REG-REC/CO CLK",1,11,0.09091,9,0,9683.74,9683.74,7383.82,7383.82,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1125' target = '_blank' >View Description</a>
1125,"ASST DIV MGR, PROG, REG-REC/CO CLK",1731,"DIVISION ADMINISTRATOR, CHILD SUPPORT SERVICES",1,11,0.09091,15,4731.64,9683.74,14415.38,7383.82,9524.04,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1731' target = '_blank' >View Description</a>
1125,"ASST DIV MGR, PROG, REG-REC/CO CLK",1884,DEPTL HUMAN RESOURCES MANAGER II,1,11,0.09091,18,3726.22,9683.74,13409.96,7383.82,8859.76,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1884' target = '_blank' >View Description</a>
1126,ELECTIONS PROGRAMS COORDINATOR,1002,ADMINISTRATIVE SERVICES MANAGER I,2,6,0.33333,434,0,7892.64,7892.64,6017.74,6017.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1002' target = '_blank' >View Description</a>
1126,ELECTIONS PROGRAMS COORDINATOR,1125,"ASST DIV MGR, PROG, REG-REC/CO CLK",2,6,0.33333,9,1791.1,7892.64,9683.74,6017.74,7383.82,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1125' target = '_blank' >View Description</a>
1126,ELECTIONS PROGRAMS COORDINATOR,1003,ADMINISTRATIVE SERVICES MANAGER II,1,6,0.16667,289,668.18,7892.64,8560.82,6017.74,6527.56,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1003' target = '_blank' >View Description</a>
1126,ELECTIONS PROGRAMS COORDINATOR,4594,"SENIOR STAFF ANALYST, HEALTH",1,6,0.16667,77,2510,7892.64,10402.64,6017.74,7931.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=4594' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,1133,SHERIFF STATION CLERK II,358,388,0.92268,297,497.36,3742.46,4239.82,3102.64,3155.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1133' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,2214,INTERMEDIATE TYPIST-CLERK,7,388,0.01804,3659,-178.1,3742.46,3564.36,3102.64,2655.64,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2214' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,2238,"COURT RECORDS SYSTEM CLERK I, SHERIFF",4,388,0.01031,25,120.28,3742.46,3862.74,3102.64,2878,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2238' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,1132,SHERIFF STATION CLERK I,3,388,0.00773,44,0,3742.46,3742.46,3102.64,3102.64,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1132' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,1228,"OPERATIONS ASSISTANT I, SHERIFF",2,388,0.00515,146,845.64,3742.46,4588.1,3102.64,3503.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1228' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,2216,SENIOR TYPIST-CLERK,2,388,0.00515,1111,274.18,3742.46,4016.64,3102.64,2991.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2216' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,2745,LAW ENFORCEMENT TECHNICIAN,2,388,0.00515,454,1077.54,3742.46,4820,3102.64,3678.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2745' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,2749,CUSTODY ASSISTANT,2,388,0.00515,1421,1577.54,3742.46,5320,3102.64,4056.28,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2749' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,1140,SENIOR CLERK,1,388,0.00258,875,177.28,3742.46,3919.74,3102.64,2920,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1140' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,1480,DEPUTY PUBLIC CONSERVATOR/ADMR I,1,388,0.00258,13,1512.54,3742.46,5255,3102.64,4006.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1480' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,1923,"EMPLOYMENT SERVICES ASSISTANT I, SHERIFF",1,388,0.00258,35,936.54,3742.46,4679,3102.64,3573,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1923' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,2096,SECRETARY III,1,388,0.00258,418,778.28,3742.46,4520.74,3102.64,3362.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2096' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,2219,SUPERVISING TYPIST-CLERK,1,388,0.00258,141,274.18,3742.46,4016.64,3102.64,2991.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2219' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,2240,"RECORDS SYSTEM CLERK I, SHERIFF",1,388,0.00258,16,18.36,3742.46,3760.82,3102.64,2801.36,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2240' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,2708,DEPUTY SHERIFF,1,388,0.00258,7901,3338.18,3742.46,7080.64,3102.64,5399.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2708' target = '_blank' >View Description</a>
1132,SHERIFF STATION CLERK I,9192,PATIENT RESOURCES WORKER,1,388,0.00258,683,-82.18,3742.46,3660.28,3102.64,3117.56,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=9192' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,1228,"OPERATIONS ASSISTANT I, SHERIFF",46,196,0.23469,146,348.28,4239.82,4588.1,3155.92,3503.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1228' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2098,SECRETARY V,38,196,0.19388,97,799.1,4239.82,5038.92,3155.92,3742.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2098' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2745,LAW ENFORCEMENT TECHNICIAN,18,196,0.09184,454,580.18,4239.82,4820,3155.92,3678.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2745' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,1229,"OPERATIONS ASSISTANT II, SHERIFF",12,196,0.06122,177,1459.74,4239.82,5699.56,3155.92,4345.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1229' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,1134,SUPVG SHERIFF STATION CLERK,11,196,0.05612,25,887.1,4239.82,5126.92,3155.92,3807.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1134' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2708,DEPUTY SHERIFF,11,196,0.05612,7901,2840.82,4239.82,7080.64,3155.92,5399.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2708' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,1923,"EMPLOYMENT SERVICES ASSISTANT I, SHERIFF",9,196,0.04592,35,439.18,4239.82,4679,3155.92,3573,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1923' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,939,"CRIME ANALYST,SHERIFF",7,196,0.03571,79,2320.1,4239.82,6559.92,3155.92,5001.82,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0939' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2239,"COURT RECORD SYSTEM CLERK II, SHERIFF",7,196,0.03571,82,181.36,4239.82,4421.18,3155.92,3289.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2239' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,1924,"EMPLOYMENT SERVICES ASSISTANT II, SHERIFF",6,196,0.03061,66,1573.18,4239.82,5813,3155.92,4432,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1924' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2241,"RECORDS SYSTEM CLERK II, SHERIFF",5,196,0.02551,36,62.74,4239.82,4302.56,3155.92,3202.28,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2241' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,1133,SHERIFF STATION CLERK II,4,196,0.02041,297,0,4239.82,4239.82,3155.92,3155.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1133' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2749,CUSTODY ASSISTANT,4,196,0.02041,1421,1080.18,4239.82,5320,3155.92,4056.28,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2749' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2218,"CUSTODY RECORDS CLERK II, SHERIFF",3,196,0.01531,149,247.64,4239.82,4487.46,3155.92,3337.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2218' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,642,ACCOUNTING TECHNICIAN I,2,196,0.0102,166,-193.46,4239.82,4046.36,3155.92,3095.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0642' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,5133,REGISTERED NURSE I,2,196,0.0102,2882,4878.46,4239.82,9118.28,3155.92,6259.08,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=5133' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,907,STAFF ASSISTANT I,1,196,0.0051,168,371,4239.82,4610.82,3155.92,3521.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0907' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,1331,PAYROLL CLERK I,1,196,0.0051,70,-102.9,4239.82,4136.92,3155.92,3080.28,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1331' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,1334,PAYROLL CLERK II,1,196,0.0051,102,247.64,4239.82,4487.46,3155.92,3337.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1334' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2094,SECRETARY I,1,196,0.0051,20,-183.54,4239.82,4056.28,3155.92,3020.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2094' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2097,SECRETARY IV,1,196,0.0051,111,533,4239.82,4772.82,3155.92,3547.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2097' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2101,SENIOR SECRETARY II,1,196,0.0051,101,963.46,4239.82,5203.28,3155.92,3967.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2101' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2160,LEGAL OFFICE SUPPORT ASSISTANT I,1,196,0.0051,182,533,4239.82,4772.82,3155.92,3362.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2160' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2216,SENIOR TYPIST-CLERK,1,196,0.0051,1111,-223.18,4239.82,4016.64,3155.92,2991.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2216' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,2344,PROCUREMENT ASSISTANT I,1,196,0.0051,106,225.46,4239.82,4465.28,3155.92,3411.82,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2344' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,5230,PUBLIC HEALTH NURSE,1,196,0.0051,510,5724,4239.82,9963.82,3155.92,6839.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=5230' target = '_blank' >View Description</a>
1133,SHERIFF STATION CLERK II,8607,"DEPUTY PROBATION OFFICER II, FIELD",1,196,0.0051,1491,2946.1,4239.82,7185.92,3155.92,5190.56,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8607' target = '_blank' >View Description</a>
1134,SUPVG SHERIFF STATION CLERK,1229,"OPERATIONS ASSISTANT II, SHERIFF",1,5,0.2,177,572.64,5126.92,5699.56,3807.1,4345.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1229' target = '_blank' >View Description</a>
1134,SUPVG SHERIFF STATION CLERK,1924,"EMPLOYMENT SERVICES ASSISTANT II, SHERIFF",1,5,0.2,66,686.08,5126.92,5813,3807.1,4432,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1924' target = '_blank' >View Description</a>
1134,SUPVG SHERIFF STATION CLERK,2225,"HEAD CUSTODY RECORD CLERK, SHERIFF",1,5,0.2,10,1400.64,5126.92,6527.56,3807.1,4844,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2225' target = '_blank' >View Description</a>
1134,SUPVG SHERIFF STATION CLERK,2246,"HEAD RECORDS SYSTEM CLERK, SHERIFF",1,5,0.2,4,831.54,5126.92,5958.46,3807.1,4421.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2246' target = '_blank' >View Description</a>
1134,SUPVG SHERIFF STATION CLERK,9232,PARALEGAL,1,5,0.2,162,773.36,5126.92,5900.28,3807.1,4260.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=9232' target = '_blank' >View Description</a>
1136,CLERK,1138,INTERMEDIATE CLERK,808,888,0.90991,2919,860.54,2617.46,3478,2163.82,2592,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1138' target = '_blank' >View Description</a>
1136,CLERK,2214,INTERMEDIATE TYPIST-CLERK,38,888,0.04279,3659,946.9,2617.46,3564.36,2163.82,2655.64,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2214' target = '_blank' >View Description</a>
1136,CLERK,1136,CLERK,15,888,0.01689,7,0,2617.46,2617.46,2163.82,2163.82,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1136' target = '_blank' >View Description</a>
1136,CLERK,9178,ELIGIBILITY WORKER I,8,888,0.00901,116,1060.72,2617.46,3678.18,2163.82,3050.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=9178' target = '_blank' >View Description</a>
1136,CLERK,1140,SENIOR CLERK,3,888,0.00338,875,1302.28,2617.46,3919.74,2163.82,2920,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1140' target = '_blank' >View Description</a>
1136,CLERK,196,FIRE SUPPRESSION AID,2,888,0.00225,131,835.72,2617.46,3453.18,2163.82,2642.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0196' target = '_blank' >View Description</a>
1136,CLERK,1098,BOARD SPECIALIST,2,888,0.00225,9,1340.46,2617.46,3957.92,2163.82,3028.28,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1098' target = '_blank' >View Description</a>
1136,CLERK,1141,PROPERTY CONVEYANCES EXAMINER,2,888,0.00225,47,1674.64,2617.46,4292.1,2163.82,3194.56,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1141' target = '_blank' >View Description</a>
1136,CLERK,578,ACCOUNT CLERK II,1,888,0.00113,107,1198.9,2617.46,3816.36,2163.82,2843,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0578' target = '_blank' >View Description</a>
1136,CLERK,1132,SHERIFF STATION CLERK I,1,888,0.00113,44,1125,2617.46,3742.46,2163.82,3102.64,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1132' target = '_blank' >View Description</a>
1136,CLERK,1924,"EMPLOYMENT SERVICES ASSISTANT II, SHERIFF",1,888,0.00113,66,3195.54,2617.46,5813,2163.82,4432,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1924' target = '_blank' >View Description</a>
1136,CLERK,2545,IT TECHNICAL SUPPORT ANALYST I,1,888,0.00113,164,3445,2617.46,6062.46,2163.82,4622.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2545' target = '_blank' >View Description</a>
1136,CLERK,2588,INFORMATION SYSTEMS ANALYST AID,1,888,0.00113,21,3355.54,2617.46,5973,2163.82,4554,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2588' target = '_blank' >View Description</a>
1136,CLERK,2827,"SECURITY ASSISTANT, SHERIFF",1,888,0.00113,163,-81.9,2617.46,2535.56,2163.82,2403,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2827' target = '_blank' >View Description</a>
1136,CLERK,6022,LIGHT VEHICLE DRIVER,1,888,0.00113,17,507.54,2617.46,3125,2163.82,2391,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6022' target = '_blank' >View Description</a>
